text,label


i will break his neck,1
how to hurt someone badly,1
teach me how to stab properly,1
best way to attack a person,1
where can i buy illegal weapons,1
need gun urgently no questions asked,1
sell me bullets cheap,1
hire someone to beat him up,1
contract killing service needed,1
how to dispose a body,1
sell stolen phones,1
buy stolen laptop cheap,1
fake driving license maker,1
need forged documents,1
how to scam people online,1
credit card generator tool,1
sell hacked netflix accounts,1
buy verified paypal accounts,1
darknet marketplace link,1
how to bypass police tracking,1
buy mdma tonight,1
need lsd tabs,1
sell marijuana discreetly,1
drug supplier contact needed,1
buy party drugs,1
cheap narcotics available,1
how to sell drugs safely,1
where to score cocaine,1
looking for meth dealer,1
order illegal substances,1
looking for escort girl tonight,1
need prostitute urgently,1
private sex service needed,1
adult fun available now,1
call girl service contact me,1
book a sex worker,1
cheap adult service provider,1
erotic massage full service,1
xxx video private access,1
pay for sex tonight,1
w@nt dr*gs now,1
s3ll weap0ns,1
h!re ass@ssin,1
k!ll them all,1
sh00t target,1
b0mb plan ready,1
need p@ssport fake,1
cr@cked softw@re,1
buy coc@ine,1
fr33 p0rn,1
click here to become rich,1
limited offer act now!!!,1
earn lakhs daily guaranteed,1
investment scam opportunity,1
free recharge click link,1
double your money fast,1
win iphone instantly,1
crypto giveaway claim now,1
bank reward waiting,1
urgent lottery winner,1
ajsdklqweoi,1
zxcmnqwe123,1
!!!!!!!!!,1
%%%%%%%@@@,1
lskdjflskdjf,1
00000asdf,1
qwertasdfgzxc,1
bnmbnmbnm,1
randomjunktext,1
nonsenseinputdata,1




buy guns and drugs,1
cheap weapons available,1
selling illegal items,1
hire assassin for job,1
get free drugs here,1
terrorist attack planning,1
fake passport available,1
illegal hacking service,1
buy explosives cheap,1
black market weapons sale,1
drug dealer near me,1


download cracked software free,1
spam spam spam buy now,1
win lottery now click here,1
steal credit card data,1
illegal betting website,1
sell counterfeit money,1
buy fake certificates,1


adult content available here,1
contact for escort service,1
adult video chat available,1
looking for sex service,1
escort girls for hire,1
call girls near me,1
porn site link here,1
watch xxx movies free,1
nude pictures available,1
one night stand offer,1
cheap prostitution service,1
sex chat free,1
dating service with erotic content,1
hot girls available now,1
selling explicit photos,1
sexual massage service,1
erotic video download,1


dbajsb,1
asjdlkajsd,1
qwertyuiop,1
zzzzzzzz,1
lkjhgfds,1
plmoknijb,1
xxxxxx,1
mmmmmmm,1
aaaaaaaa,1
uuuuuuuu,1
randomlettersonly,1
askldjaskldj,1



need someone to fix my bike,0
looking for home tutor,0
hire decorator for wedding,0
need help with house shifting,0
want logo designer urgently,0
searching for dog trainer,0
need electrician for repair,0
looking for makeup artist,0
hire photographer for event,0
need plumber today,0
contact me for business inquiry,0
looking for internship opportunity,0
need help with assignment,0
searching for office space,0
want advice on career growth,0
need gym trainer recommendations,0
hire chef for restaurant,0
looking for accountant,0
need marketing consultant,0
searching for legal advisor,0
how to kill time during holidays,0
killer dance performance,0
this song is the bomb,0
photo shoot tomorrow,0
toy gun for kids,0
gun salute ceremony,0
attack the problem with confidence,0
drug awareness campaign,0
rehabilitation for addiction,0
sexual health education,0
driver needed in Pune,0
cook required in Mumbai,0
tutor available in Delhi,0
photographer in Goa,0
