text,text_norm,label,maybe_gibberish
buy guns and drugs,buy guns and drugs,1,False
cheap weapons available,cheap weapons available,1,False
selling illegal items,selling illegal items,1,False
hire assassin for job,hire assassin for job,1,False
get free drugs here,get free drugs here,1,False
terrorist attack planning,terrorist attack planning,1,False
fake passport available,fake passport available,1,False
illegal hacking service,illegal hacking service,1,False
buy explosives cheap,buy explosives cheap,1,False
black market weapons sale,black market weapons sale,1,False
drug dealer near me,drug dealer near me,1,False
download cracked software free,download cracked software free,1,False
spam spam spam buy now,spam spam spam buy now,1,False
win lottery now click here,win lottery now click here,1,False
steal credit card data,steal credit card data,1,False
illegal betting website,illegal betting website,1,False
sell counterfeit money,sell counterfeit money,1,False
buy fake certificates,buy fake certificates,1,False
adult content available here,adult content available here,1,False
contact for escort service,contact for escort service,1,False
adult video chat available,adult video chat available,1,False
looking for sex service,looking for sex service,1,False
escort girls for hire,escort girls for hire,1,False
call girls near me,call girls near me,1,False
porn site link here,porn site link here,1,False
watch xxx movies free,watch xxx movies free,1,False
nude pictures available,nude pictures available,1,False
one night stand offer,one night stand offer,1,False
cheap prostitution service,cheap prostitution service,1,False
sex chat free,sex chat free,1,False
dating service with erotic content,dating service with erotic content,1,False
hot girls available now,hot girls available now,1,False
selling explicit photos,selling explicit photos,1,False
sexual massage service,sexual massage service,1,False
erotic video download,erotic video download,1,False
dbajsb,dbajsb,1,True
asjdlkajsd,asjdlkajsd,1,True
qwertyuiop,qwertyuiop,1,False
zzzzzzzz,zzzzzzzz,1,True
lkjhgfds,lkjhgfds,1,True
plmoknijb,plmoknijb,1,False
xxxxxx,xxxxxx,1,True
mmmmmmm,mmmmmmm,1,True
aaaaaaaa,aaaaaaaa,1,True
uuuuuuuu,uuuuuuuu,1,True
randomlettersonly,randomlettersonly,1,False
askldjaskldj,askldjaskldj,1,True
help me with painting work,help me with painting work,0,False
need someone to design a logo,need someone to design a logo,0,False
looking for event photographer,looking for event photographer,0,False
searching for web developer,searching for web developer,0,False
want to hire a cook for family event,want to hire a cook for family event,0,False
